index_after_baseline	sha	short_sha	subject	history_layer	category	visual_or_ux_risk	recommended_action	backport_bundle	rationale
108	abd9e9e09f4a6050049d7f83bbf1d14814a23c9c	abd9e9e09	perf(classroom): remove the side-pane animation clock	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
109	40600e0b1984d5e7f6275abe4b3ceb15c15a2806	40600e0b1	docs(performance): reconcile retained cutover ledger	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
110	90ed93ee605097574681b13b9f4b7eaa169c26db	90ed93ee6	fix(path): retain the selected motion anchor on first draw	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
111	7dae29fcf6152bac134e32265561697c4d18d301	7dae29fcf	fix(workbench): refuse static recovery playback	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
112	e33706b1b23bbe19965bb08025d03b62b3899b74	e33706b1b	test(workflow): migrate coverage to persistent workbench	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
113	8c1cb77f66a9abd0625e9241871031b8e24835c3	8c1cb77f6	test(performance): preserve visible Orca samples	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
114	984b07e1d7bbc30d150ce320200584d0e1af3995	984b07e1d	test(performance): record visible local acceptance	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
115	c7b4aa5e24d3811335aa7b484a6d6a6a0b8f2ad2	c7b4aa5e2	docs(performance): close the local evidence ledger	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
116	80f9857a8e95e0a4ee7ab4943bd464d252b1db00	80f9857a8	fix(ui): restore shared 2D 3D and zoom controls	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
117	2f2e4eba9b090d7d895d3386e576d66c3e33cd61	2f2e4eba9	fix(rendering): restore the v1.1.0 visual profile	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
118	8040ed883835907fa91200834b14b623e1f6fda7	8040ed883	fix(ui): restore Foundry camera layer and playback HUD	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
119	9386465e854fe6adf5f606a52c2371f9f9b59654	9386465e8	fix(ui): restore Design and Assembly viewer controls	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
120	941a17eb7d429f2531413d3469d99912f5d60153	941a17eb7	fix(ui): restore Blueprint proof and view controls	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
121	b5728dbdd8c0afdccc58f317d4d04f0619fcee9d	b5728dbdd	fix(ui): restore classroom-resolution overlay layout	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
122	983c421348e83c07b7d5a49f4517ec8efbaca6bc	983c42134	test(perf): add the constrained-browser recovery gate	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
